tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
61243,Jean,12,50,καὶ,καί,G2532,9108
61244,Jean,12,50,οἶδα,εἴδω,G6063,280
61245,Jean,12,50,ὅτι,ὅτι,G3754,1291
61246,Jean,12,50,ἡ,ὁ,G3588,19785
61247,Jean,12,50,ἐντολὴ,ἐντολή,G1785,68
61248,Jean,12,50,αὐτοῦ,αὐτός,G0846,5558
61249,Jean,12,50,ζωὴ,ζωή,G2222,135
61250,Jean,12,50,αἰώνιός,αἰώνιος,G0166,70
61251,Jean,12,50,ἐστιν,εἰμί,G1510,2458
61252,Jean,12,50,ἃ,ὅς,G3739,1408
61253,Jean,12,50,οὖν,οὖν,G3767,494
61254,Jean,12,50,ἐγὼ,ἐγώ,G1473,2462
61255,Jean,12,50,λαλῶ,λαλέω,G2980,296
61256,Jean,12,50,καθὼς,καθώς,G2531,182
61257,Jean,12,50,εἴρηκέν,ἔπω,G2046,47
61258,Jean,12,50,μοι,ἐγώ,G1473,2462
61259,Jean,12,50,ὁ,ὁ,G3588,19785
61260,Jean,12,50,πατήρ,πατήρ,G3962,414
61261,Jean,12,50,οὕτως,οὕτω,G3779,207
61262,Jean,12,50,λαλῶ,λαλέω,G2980,296
61263,Jean,13,1,Πρὸ,πρό,G4253,47
61264,Jean,13,1,δὲ,δέ,G1161,2771
61265,Jean,13,1,τῆς,ὁ,G3588,19785
61266,Jean,13,1,ἑορτῆς,ἑορτή,G1859,25
61267,Jean,13,1,τοῦ,ὁ,G3588,19785
61268,Jean,13,1,πάσχα,πάσχα,G3957,29
61269,Jean,13,1,εἰδὼς,εἴδω,G6063,280
61270,Jean,13,1,ὁ,ὁ,G3588,19785
61271,Jean,13,1,Ἰησοῦς,Ἰησοῦς,G2424,910
61272,Jean,13,1,ὅτι,ὅτι,G3754,1291
61273,Jean,13,1,ἦλθεν,ἔρχομαι,G2064,630
61274,Jean,13,1,αὐτοῦ,αὐτός,G0846,5558
61275,Jean,13,1,ἡ,ὁ,G3588,19785
61276,Jean,13,1,ὥρα,ὥρα,G5610,106
61277,Jean,13,1,ἵνα,ἵνα,G2443,668
61278,Jean,13,1,μεταβῆ,μεταβαίνω,G3327,12
61279,Jean,13,1,ἐκ,ἐκ,G1537,912
61280,Jean,13,1,τοῦ,ὁ,G3588,19785
61281,Jean,13,1,κόσμου,κόσμος,G2889,185
61282,Jean,13,1,τούτου,οὗτος,G3778,1380
61283,Jean,13,1,πρὸς,πρός,G4314,699
61284,Jean,13,1,τὸν,ὁ,G3588,19785
61285,Jean,13,1,πατέρα,πατήρ,G3962,414
61286,Jean,13,1,ἀγαπήσας,ἀγαπάω,G0025,143
61287,Jean,13,1,τοὺς,ὁ,G3588,19785
61288,Jean,13,1,ἰδίους,ἴδιος,G2398,113
61289,Jean,13,1,τοὺς,ὁ,G3588,19785
61290,Jean,13,1,ἐν,ἐν,G1722,2728
61291,Jean,13,1,τῷ,ὁ,G3588,19785
61292,Jean,13,1,κόσμῳ,κόσμος,G2889,185
61293,Jean,13,1,εἰς,εἰς,G1519,1757
61294,Jean,13,1,τέλος,τέλος,G5056,40
61295,Jean,13,1,ἠγάπησεν,ἀγαπάω,G0025,143
61296,Jean,13,1,αὐτούς,αὐτός,G0846,5558
61297,Jean,13,2,καὶ,καί,G2532,9108
61298,Jean,13,2,δείπνου,δεῖπνον,G1173,16
61299,Jean,13,2,γινομένου,γίνομαι,G1096,662
61300,Jean,13,2,τοῦ,ὁ,G3588,19785
61301,Jean,13,2,διαβόλου,διάβολος,G1228,37
61302,Jean,13,2,ἤδη,ἤδη,G2235,61
61303,Jean,13,2,βεβληκότος,βάλλω,G0906,121
61304,Jean,13,2,εἰς,εἰς,G1519,1757
61305,Jean,13,2,τὴν,ὁ,G3588,19785
61306,Jean,13,2,καρδίαν,καρδία,G2588,155
61307,Jean,13,2,ἵνα,ἵνα,G2443,668
61308,Jean,13,2,παραδοῖ,παραδίδωμι,G3860,118
61309,Jean,13,2,αὐτὸν,αὐτός,G0846,5558
61310,Jean,13,2,Ἰούδας,Ἰούδας,G2455,41
61311,Jean,13,2,Σίμωνος,Σίμων,G4613,75
61313,Jean,13,3,εἰδὼς,εἴδω,G6063,280
61316,Jean,13,3,ὅτι,ὅτι,G3754,1291
61317,Jean,13,3,πάντα,πᾶς,G3956,1236
61319,Jean,13,3,αὐτῷ,αὐτός,G0846,5558
61320,Jean,13,3,ὁ,ὁ,G3588,19785
61321,Jean,13,3,πατὴρ,πατήρ,G3962,414
61322,Jean,13,3,εἰς,εἰς,G1519,1757
61323,Jean,13,3,τὰς,ὁ,G3588,19785
61324,Jean,13,3,χεῖρας,χείρ,G5495,177
61325,Jean,13,3,καὶ,καί,G2532,9108
61326,Jean,13,3,ὅτι,ὅτι,G3754,1291
61327,Jean,13,3,ἀπὸ,ἀπό,G0575,640
61328,Jean,13,3,θεοῦ,θεός,G2316,1311
61329,Jean,13,3,ἐξῆλθεν,ἐξέρχομαι,G1831,217
61330,Jean,13,3,καὶ,καί,G2532,9108
61331,Jean,13,3,πρὸς,πρός,G4314,699
61332,Jean,13,3,τὸν,ὁ,G3588,19785
61333,Jean,13,3,θεὸν,θεός,G2316,1311
61334,Jean,13,3,ὑπάγει,ὑπάγω,G5217,78
61335,Jean,13,4,ἐγείρεται,ἐγείρω,G1453,143
61336,Jean,13,4,ἐκ,ἐκ,G1537,912
61337,Jean,13,4,τοῦ,ὁ,G3588,19785
